website,business_name,address,phone,fax,mobile,full_service_categories
ww2.bzilionconcreteservices.comu002F,Bzilion Concreting Services,Mcgraths Hill NSW 2756,0245776965,,0427975692,"Concrete Kerbs,Install Driveway Edges,Install Car Park Kerbs,Install Garden Edges,Concrete Resurfacing,Anti-Slip Concrete Resurfacing,Concrete Polishing,Decorative Concrete Coatings,Concrete Repair & Reseal,Concreting,Concrete Retaining Walls,Grinding,Exposed Aggregate Concrete,Concrete Removal,Foundations,Concrete Pools,Formwork,Reinforcement,Coloured Concrete,Pumping,Footpaths,Spray-On,Cleaning,Driveways,Sealing,Cutting,House Slabs"
https:u002Fu002Fwww.facebook.comu002Fdzltiling,DZL Tiling,"127 Nicklin way, 127 nicklin WAY, Warana QLD 4575",0404521209,,0404 521 209,"Tilers,Wall Tiling,Floor Tiling,Bathroom Tiling,Kitchen Tiling"
,Ezzy Cleaning Services,Truganina VIC 3029,,,0488112775,"Carpet & Upholstery Cleaning,Carpet & Fabric Protection,Sanitising & Deoderising,Carpet Steam Cleaning,Carpet Dry Cleaning,Upholstery Cleaning,Rug Cleaning,Cleaning,Tile & Grout,One Off Clean,Rental Bond & Move Out Clean,Home Cleaners,Cleaning Services - Commercial,Exterior Cleaning,High Pressure Cleaning,Builder Clean Ups,Graffiti Removal,Office Cleaning,Window Cleaning,Standard"
,Gywabi Pty Ltd,Merrylands NSW 2160,,,0433829296,"Decking,Decking Materials,Timber Decking,Handyman,Basic Plastering,Plastering & Gyprock,Repairs,Ornamental,Partitioning,Solid Wall,Dry Wall"
,Industrial Tradie,Revesby NSW 2212,0414355858,,,"Handyman,Window & Door Repairs,Basic Plastering,Basic Paving,Basic Concreting,Basic Painting,Basic Fencing,Basic Carpentry,Odd Jobs,Picture & Mirror Hanging,Basic Bricklaying,Lock Repairs,Welding,Basic Garden Jobs,Basic Tiling,Furniture Assembly,Shower Base Repair"
,JZP Tiling Services,SURFERS PARADISE QLD 4217,0452614121,,0452614121,"Tilers,Mosaic,Tile & Grout Cleaning,Tile Resurfacing,Outdoor Paving,Wall Tiling,Bathroom Tiling,Floor Tiling,Kitchen Tiling,Tile Removal,Waterproofing,Tile Seepage,Balconies,Rising Damp,Chimney,Seal Showers,Caulking,Grout Seepage,Ponds & Water Features,Pools,Bathroom"
,JZ Waterproofing,MAIDSTONE VIC 3012,0457770957,,0457770957,"Waterproofing,Seal Showers,Grout Seepage,Bathroom,Balconies,Tile Seepage"
,LZ PLUMBING,Orange NSW 2800,0407705344,,,"Gas Fitters,Gas Repairs,Gas Installation,Plumbers,General Maintenance,New Homes,Hot Water Unit Installation,24/7 Emergency Plumbers,Hot Water Unit Repairs,Plumbing Installation,Drain Repairs,Home Renovations,Rain Water Tank Installation,New Drains,Grey Water Systems,Toilet Repairs,Blocked Drains,Grease Traps,Toilet Installation,Backflow Systems"
www.pyreneeshandyman.comu002F,Pyrenees Handyman Service,"4 sing track, 4 sing TRK, daisy hill VIC 3465",03 5460 5891,03 5460 55891,0409 240 466,"Bathroom,Complete Bathroom Renovation,Building,Re Stumping"
,Python Security Service,,1800 PYTHON,,0412 350 579,Security
www.czyaluminium.com,CZY pty ltd,Chester HILL NSW 2162,,,0447 888 200,"Bathroom,Builder,Design,Repairs,Basin Installation,Tilers,Toilet Installation,Cabinet Makers,Bath Installation,Waterproofers,Shower Installation,Vanity Installation,Bathroom Resurfacing,Complete Bathroom Renovation,Building,Commercial,Cabinet Making,Home Office,Bathroom,Vanities,Built-in Furniture,Bookcases,Kitchen Renovations,Benchtops,Carpenters,Doors,Renovations,Handrails,Formwork,Architraves,Windows,Skirting,Decking,Ramps,Fencing,Glass,Steel,Aluminium,General Contractor,Security,PVC,Kitchen,Benchtops,Kitchen Renovation,Project Management,New Kitchen,Flat Pack Kitchens,Tilers,Cabinet Makers,Resurfacing,Plastering & Gyprock,Solid Wall,Dry Wall,Repairs,Ornamental,Partitioning"
www.qwiktrackplumbing.com.au,Qwiktrack Plumbing Pty Ltd,Hurstville NSW 2220,,,0451009559,"Bathroom,Toilet Installation,Bathroom Accessories,Toilet Seats,Drains,Excavation,Trenching,Confined Space (mini excavator),Service Location,Pool Excavations,Pit Installation,Earth Moving,Gas Fitters,Gas Repairs,Gas Installation,Gutter Cleaning,Stormwater Pits & Drains,Roof Gutters,Guttering,Stormwater Pits & Drains,Rain Water Tank Set Up,Heaters,Gas Heaters,Hot Water Systems,Suppliers,Electric,Gas,Solar Hot Water,Service & Repairs,Heat Pumps,Installation,Plumbers,General Maintenance,Toilet Installation,New Homes,Solar Hot Water,Hot Water Unit Installation,24/7 Emergency Plumbers,Drain Repairs,Hot Water Unit Repairs,Plumbing Installation,New Drains,Home Renovations,Rain Water Tank Installation,Blocked Drains,Grease Traps,Toilet Repairs,Backflow Systems,Roof Repairs,Metal & Colorbond Roof Repairs,General Maintenance,Roofing,Roofing Contractors,Metal & Colorbond Roofing,Rubbish Removal,Rubbish Removal Service,Waterproofing,Rising Damp"
,Qwikfix Plastering,GRACEMERE QLD 4702,0417723099,,0417723099,"Bathroom,Cabinet Makers,Repairs,Carpenters,Ramps,Doors,Renovations,Formwork,Skirting,Windows,Decking,Ceilings,Demolition,Asbestos Removal,Strip Outs,Handyman,Basic Carpentry,Basic Painting,Picture & Mirror Hanging,Basic Bricklaying,Odd Jobs,Lock Repairs,Basic Garden Jobs,Welding,Furniture Assembly,Shower Base Repair,Basic Concreting,Basic Plastering,Basic Fencing,Home Theatre,Televisions,Joinery,Windows & Doors,Plastering & Gyprock,Repairs,Partitioning,Dry Wall,Pool Fencing,Installation"
,Fyson Brickwork,WATERLOO NSW 2017,0410721570,,0410721570,"Bricklaying,New Building,Fireplaces,Piering,Brick Pointing,Brick Fences,Extensions,Alterations & Additions"
,Hi-Tek Pressure Cleaning Services,Blackalls Park NSW 2283,0458572579,,0458572579,"Cleaning Services - Commercial,High Pressure Cleaning,Concrete Resurfacing,Decorative Concrete Coatings,Concrete Repair & Reseal,Anti-Slip Concrete Resurfacing,Concreting,Sealing,Cleaning,Gutter Cleaning,Roof Gutters,Gutter Protection,Handyman,Odd Jobs,Pressure Cleaning,Paving Clean,Pool Cleaning,Brick Cleaning,Driveway Clean,Graffiti Removal"
,FyrePower Fire Protection,Varsity Lakes QLD 4227,,,0488883973,Fire Protection Materials
www.fyshwickselfstorage.com.au,Fyshwick Self Storage,"64-68 Collie ST, Fyshwick ACT 2609",0262471514,0261620060,0402858041,"Storage,Transport & Store,Shelving & Storage Solutions,Self Storage"
www.fyreguard.com.au,Fyreguard Waterproofing Supplies,Burleigh Heads QLD 4220,0755934955,,,"Concrete Waterproofing Materials,Waterproofing,Waterproofing Products"
www.fyrepro.com.auu002F,Fyre Pro Aus PTY LTD,"Unit 3, 18 Hinkler CRT, Brendale QLD 4500",1800 00 3973,,,"Door Suppliers,Entry Doors,Doors,Door Replacement,Door Repairs,Door Installation,Restoration,Frame Installation,Fire Doors,Fire Protection Materials,Inspections - Building,Expert Witness Reports,Fire Protection Inspections"
