website,business_name,address,phone,fax,mobile,full_service_categories
,A & B Lawns & Landscaping,Fairy Meadow NSW 2519,0242841674,,,"Garden Maintenance,Weed Control,Fertilising,Pruning & Trimming,Garden Cleanup,Garden Rubbish Removal,Slashing,Lawn Mowing,Gardens"
,A & B Touch Ups,Point Vernon QLD 4655,0437 788 385,,,"Bath & Basin Resurfacing,Tiles,Basin,Bath,Shower,Bathroom,Bathroom Resurfacing,Handyman,Odd Jobs"
www.canvasaustralia.com.au,A & B Canvas Australia,"12 - 14 Hodgson WAY, Kewdale WA 6105",(08) 9353 2550,(08) 9353 2575,,"Awning Suppliers,Pergola Awnings,Folding Arm Awnings,Fixed Awnings,Drop Arm Awnings,Automatic Awnings,Roller Awnings,Awnings,Custom Design,Installation,Repairs,Blinds Suppliers,Outdoor,Roller Blinds,PVC Cafe Blinds,Privacy Screens,Retractable Screen Suppliers,Shades & Sails,Sunscreens,Other Shade Structures,Sails - Supply,Design & Install Umbrellas,Giant Shade Umbrellas - Supply,Design & Install Sails"
,A & B Caulking & Plastering - Internal and External Silicone Work,Taylors Hills VIC 3037,,,0421 771 115,"Handyman,Basic Plastering,Plastering & Gyprock,Repairs,Partitioning,Dry Wall,Waterproofing,Caulking"
,A & B Refrigeration,Fitzroy VIC 3065,0394194795,,0419374599,"Air Conditioning,Refrigeration"
,A&B Roof Coaters,Willetton WA 6155,(08) 9332 3285,,,"Roof Materials ,Roof Tiles,Roof Repairs,Repointing,General Maintenance,Restoration,Roof Tile Replacement,Roofing,Bedding & Pointing"
,A & B Little Aussie Digger,Gosford NSW 2250,,,0404090028,"Concreting,Grinding,Concrete Removal,Foundations,Pumping,Coloured Concrete,Formwork,Exposed Aggregate Concrete,Cleaning,Footpaths,Reinforcement,Driveways,Spray-On,Cutting,Sealing,Concrete Retaining Walls,Excavation,Trenching,Earth Moving"
www.aahotwaterandgas.com.au ,A & A Hotwater & Gas Solutions Pty Ltd,PALMERSTON ACT 2913,0422088835,,,"Appliance Installation,Cooktop Installation,Dishwasher Installation,Appliance Repairs,Hot Water Systems,Gas Fitters,Gas Repairs,Gas Installation,Heaters,Heating Systems,Hot Water Systems,Service & Repairs,Installation,Electric,Suppliers,Gas,Solar Hot Water,Heat Pumps,Plumbers,Plumbing Installation,Hot Water Unit Repairs,Solar Hot Water"
abplumbingnsw.com.au,A & B Plumbing Pty Ltd,Lugarno NSW 2210,,,0423 223 322,"Bathroom Sinks,Drains,Gas Fitters,Gas Repairs,Gas Installation,Gutter Cleaning,Roof Gutters,Commercial,Stormwater Pits & Drains,Hot Water Systems,Electric,Service & Repairs,Installation,Heat Pumps,Plumbers,Hot Water Unit Repairs,Blocked Drains,Home Renovations,24/7 Emergency Plumbers,General Maintenance,Plumbing Installation,Toilet Repairs,Toilet Installation,Drain Repairs,Hot Water Unit Installation,New Drains,Rainwater Tanks,Installation,Repairs"
,A & A Hot Water Service,"66 Fairfax RD, Warners Bay NSW 2282",02 4958 7333,02 4958 7575,0411 553 022,"Heating Systems,Repairs,Maintenance,Supply & Install,Hot Water Systems,Electric,Gas,Solar Hot Water,Service & Repairs,Installation"
,A & B Home Maintenance,,,,0412 917 538,"Bathroom,Cabinet Makers,Bathroom Vanities,Cabinet Making,Bookcases,Home Office,Bathroom,Vanities,Built-in Furniture,Benchtops,Joinery,Kitchens,Kitchen,Kitchen Renovation,Cabinet Makers,Wardrobes,Standalone Wardrobe Builders,Built In Wardrobe Builders,Shelving & Storage Solutions"
,A & A Plastic,O'Connor WA 6163,0893315199,,,"Blinds,Blinds Suppliers,Outdoor"
,A & A Hire Service,Arcadia NSW 2159,0296531668,,,"Excavation,Earth Moving"
,A & A Lawson Concreting,,,,0402 175 006,Concreting
,,,,,,
www.aascreens.com.au,A & A Screens & Security,"Cnr Nudgee Rd and Crockford ST, Northgate QLD 4013",07 3260 5503,0737407199,,"Security Screens & Doors,Door Install,Screen Install"
,Adams Stump Removal,EORONIA VIC 3155,0409135317,,0409135317,"Arborist,Tree Removal,Tree Surgery,Tree Pruning,Tree Consulting,Stump Removal"
adamsqualitypainting.comu002F,Adams Quality Painting,Hammondville NSW 2170,0424512562,,,"Painters,Exterior,Interior,Commercial,Exterior Timber Maintenance,Fence Painting"
,Action transport and removals,BAYSWATER VIC 3153,0407545653,,0407545653,"Equipment Hire,Trenching Equipment,Generators,Furniture Removal,Small Move,House Move,Corporate Move,Including Packing & Unpacking,Garden Maintenance,Garden Cleanup,Garden Rubbish Removal,Slashing,Rubbish Removal,Rubbish Removal Service"
,Adequate Air Installations,Modbury North SA 5092,,,0412846888,"Air Conditioning,Ducted,Suppliers,Air Conditioners,Installation,Reverse Cycle,Repairs & Maintenance,Refrigeration,Split System,Evaporative Cooling"
